area label,area,IMD: Overall - score
area label,area,3902.00
area label,area,Score
area label,area,raw
area label,area,2019.00
area label,area,cal_2019
East (ADASS Region),ADASS-172176,17.40
East Midlands (ADASS Region),ADASS-172177,20.23
Greater London (ADASS Region),ADASS-172178,21.80
North East (ADASS Region),ADASS-172179,28.04
North West (ADASS Region),ADASS-172180,28.09
South East (ADASS Region),ADASS-172181,15.47
South West (ADASS Region),ADASS-172182,18.24
West Midlands (ADASS Region),ADASS-172183,25.35
Yorkshire/Humberside (ADASS Region),ADASS-172184,26.04
England,E92000001,no value
