area label,area,Cumulative no. residents who have received one dose of a COVID-19 vaccine
area label,area,14814
area label,area,Count
area label,area,raw
area label,area,Week end 11/07/2021
area label,area,weekly_2021_07_11
East (ADASS Region),ADASS-172176,4353099
East Midlands (ADASS Region),ADASS-172177,3531485
Greater London (ADASS Region),ADASS-172178,Suppressed
North East (ADASS Region),ADASS-172179,1858593
North West (ADASS Region),ADASS-172180,4955944
South East (ADASS Region),ADASS-172181,6284496
South West (ADASS Region),ADASS-172182,Suppressed
West Midlands (ADASS Region),ADASS-172183,3902001
Yorkshire/Humberside (ADASS Region),ADASS-172184,3719418
England,E92000001,38306649
