area label,area,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine,Cumulative no. residents who have received one dose of a COVID-19 vaccine
area label,area,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00,14814.00
area label,area,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
area label,area,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw
area label,area,Week end 21/02/2021,Week end 28/02/2021,Week end 07/03/2021,Week end 14/03/2021,Week end 21/03/2021,Week end 28/03/2021,Week end 04/04/2021,Week end 11/04/2021,Week end 18/04/2021,Week end 25/04/2021,Week end 02/05/2021,Week end 09/05/2021,Week end 16/05/2021,Week end 23/05/2021,Week end 30/05/2021,Week end 06/06/2021,Week end 13/06/2021,Week end 20/06/2021,Week end 27/06/2021,Week end 04/07/2021,Week end 11/07/2021,Week end 18/07/2021
area label,area,weekly_2021_02_21,weekly_2021_02_28,weekly_2021_03_07,weekly_2021_03_14,weekly_2021_03_21,weekly_2021_03_28,weekly_2021_04_04,weekly_2021_04_11,weekly_2021_04_18,weekly_2021_04_25,weekly_2021_05_02,weekly_2021_05_09,weekly_2021_05_16,weekly_2021_05_23,weekly_2021_05_30,weekly_2021_06_06,weekly_2021_06_13,weekly_2021_06_20,weekly_2021_06_27,weekly_2021_07_04,weekly_2021_07_11,weekly_2021_07_18
Aberdeen,S12000033,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Aberdeenshire,S12000034,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Adur,E07000223,20418.00,23944.00,25790.00,27551.00,32118.00,33686.00,33873.00,34260.00,35215.00,36351.00,37518.00,38119.00,39480.00,41657.00,42156.00,42930.00,43955.00,44759.00,45457.00,46403.00,46807.00,47132.00
Allerdale,E07000026,29290.00,33860.00,37161.00,41857.00,49404.00,56155.00,57863.00,58581.00,59049.00,60217.00,61128.00,62220.00,65007.00,68401.00,70766.00,72203.00,72724.00,73257.00,73975.00,74246.00,74589.00,74800.00
Amber Valley,E07000032,37885.00,43827.00,48461.00,53175.00,63010.00,70437.00,72438.00,74401.00,74923.00,75999.00,76620.00,77137.00,77751.00,79996.00,82735.00,83930.00,86624.00,89434.00,91691.00,92969.00,93578.00,93930.00
Angus,S12000041,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Antrim and Newtownabbey,N09000001,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Ards and North Down,N09000011,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Argyll and Bute,S12000035,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Armagh Banbridge and Craigavon,N09000002,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value,no value
Arun,E07000224,57516.00,65425.00,71856.00,76426.00,83535.00,89958.00,90983.00,91485.00,92871.00,94729.00,96126.00,97986.00,99603.00,102687.00,105645.00,108590.00,110008.00,113197.00,116493.00,118706.00,120117.00,120943.00
Ashfield,E07000170,37680.00,45910.00,50230.00,53466.00,61065.00,65335.00,66459.00,66942.00,68195.00,68921.00,69732.00,70975.00,72028.00,74198.00,77267.00,78514.00,80734.00,83428.00,85803.00,86880.00,87365.00,87762.00
Ashford,E07000105,35615.00,39861.00,44162.00,48767.00,57072.00,62570.00,64156.00,64603.00,65695.00,66732.00,67734.00,69958.00,72561.00,75246.00,77819.00,78923.00,81284.00,84324.00,87406.00,89875.00,91422.00,92226.00
Babergh,E07000200,33137.00,38322.00,41476.00,43920.00,50004.00,51803.00,52343.00,52628.00,53308.00,54156.00,54750.00,55630.00,57965.00,60958.00,61905.00,62851.00,64227.00,65707.00,67021.00,67803.00,68632.00,69271.00
Barking and Dagenham,E09000002,34628.00,40147.00,46747.00,52133.00,59603.00,66049.00,68055.00,69269.00,71879.00,73594.00,76504.00,78227.00,81696.00,85492.00,89732.00,92729.00,97039.00,100888.00,104956.00,107775.00,109509.00,110715.00
