area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - score
Bath and North East Somerset,E06000022,138915.00,"103,615",12783.00,11.75
Bedford Borough,E06000055,121324.00,"94,456",17878.00,18.93
Blackburn with Darwen,E06000008,94845.00,"75,064",25445.00,36.01
Blackpool,E06000009,99018.00,"83,735",14577.00,45.04
"Bournemouth, Christchurch and Poole",E06000058,281368.00,"230,987",33917.00,18.17
Bracknell Forest,E06000036,86411.00,"67,088",9538.00,10.24
Brighton and Hove,E06000043,197728.00,"145,935",21922.00,20.76
Bristol,E06000023,318722.00,"218,987",46137.00,26.36
Buckinghamshire,E06000060,385981.00,"309,573",40769.00,10.05
Central Bedfordshire,E06000056,204841.00,"161,686",22137.00,12.15
Cheshire East,E06000049,291622.00,"242,062",29337.00,14.48
Cheshire West and Chester,E06000050,258524.00,"207,817",29632.00,18.08
Cornwall,E06000052,422585.00,"346,447",23560.00,23.07
Darlington,E06000005,76143.00,"61,031",11290.00,25.66
Derby,E06000015,171169.00,"143,094",24194.00,26.32
Dorset,E06000059,295597.00,"256,385",16125.00,15.74
Durham,E06000047,381821.00,"310,339",57516.00,26.79
East Riding of Yorkshire,E06000011,261293.00,"218,879",25616.00,15.61
Halton,E06000006,87697.00,"74,111",14700.00,32.33
Hartlepool,E06000001,63606.00,"51,586",12543.00,35.04
Herefordshire,E06000019,141368.00,"116,904",8974.00,18.89
Isle of Wight,E06000046,105410.00,"91,823",7988.00,23.29
Isles of Scilly,E06000053,1674.00,"1,497",,12.01
Kingston upon Hull,E06000010,170045.00,"131,285",25799.00,40.56
Leicester,E06000016,221067.00,"166,007",44325.00,30.88
Luton,E06000032,123477.00,"88,737",24923.00,25.91
Medway,E06000035,181684.00,"142,784",30371.00,23.94
Middlesbrough,E06000002,93431.00,"74,297",18618.00,40.46
Milton Keynes,E06000042,184144.00,"139,680",25150.00,17.98
North East Lincolnshire,E06000012,108115.00,"87,200",15607.00,31.34
North Lincolnshire,E06000013,120593.00,"101,130",12431.00,22.10
North Northamptonshire,E06000061,237727.00,"190,294",27015.00,19.66
North Somerset,E06000024,162409.00,"136,296",14551.00,15.83
Northumberland,E06000057,245467.00,"208,000",26738.00,22.08
Nottingham,E06000018,190913.00,"129,953",39921.00,34.89
Peterborough,E06000031,129710.00,"97,253",18392.00,27.82
Plymouth,E06000026,187720.00,"144,842",16193.00,26.62
Portsmouth,E06000044,144101.00,"109,444",18504.00,26.90
Reading,E06000038,111795.00,"78,331",14207.00,19.62
Redcar and Cleveland,E06000003,97767.00,"82,764",15251.00,29.79
Rutland,E06000017,31139.00,"26,057",2227.00,8.38
Shropshire,E06000051,241577.00,"202,809",19278.00,17.15
Slough,E06000039,91301.00,"67,911",17659.00,22.97
South Gloucestershire,E06000025,211384.00,"165,258",23119.00,11.66
Southampton,E06000045,160171.00,"119,210",20533.00,26.88
Southend-on-Sea,E06000033,121788.00,"100,405",18070.00,22.38
Stockton-on-Tees,E06000004,135853.00,"109,557",23124.00,25.79
Stoke-on-Trent,E06000021,170042.00,"137,877",26182.00,34.50
Swindon,E06000030,161058.00,"119,126",15254.00,18.62
Telford and Wrekin,E06000020,122438.00,"97,571",14612.00,24.99
Thurrock,E06000034,103280.00,"79,960",20341.00,20.93
Torbay,E06000027,101829.00,"86,026",7304.00,28.10
Warrington,E06000007,149238.00,"124,635",23821.00,18.94
West Berkshire,E06000037,117931.00,"93,643",8539.00,9.95
West Northamptonshire,E06000062,283185.00,"222,223",33445.00,17.71
Wiltshire,E06000054,379677.00,"295,854",24724.00,13.45
Windsor and Maidenhead,E06000040,110032.00,"89,830",10762.00,8.38
Wokingham,E06000041,125899.00,"101,023",11022.00,5.85
York,E06000014,147463.00,"111,487",17242.00,11.73
England,E92000001,38889840.00,"31,041,898",5090505.00,
