area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Aberdeen,S12000033,,,,,,,,,,,,229060.00
Aberdeenshire,S12000034,,,,,,,,,,,,260780.00
Adur,E07000223,47333.00,40527.00,4126.00,7.90,0.00,0.00,7.14,0.00,0.00,0.00,0.00,64187.00
Allerdale,E07000026,74969.00,65924.00,7364.00,19.90,13.33,0.00,18.33,13.33,11.67,10.00,21.67,97831.00
Amber Valley,E07000032,94275.00,79591.00,10950.00,11.00,2.56,0.00,11.54,3.85,5.13,3.85,3.85,128829.00
Angus,S12000041,,,,,,,,,,,,115820.00
Antrim and Newtownabbey,N09000001,,,10859.00,,,,,,,,,143756.00
Ards and North Down,N09000011,,,8087.00,,,,,,,,,162056.00
Argyll and Bute,S12000035,,,,,,,,,,,,85430.00
Armagh Banbridge and Craigavon,N09000002,,,18221.00,,,,,,,,,217232.00
Arun,E07000224,121576.00,101284.00,11157.00,10.50,7.45,4.26,8.51,3.19,5.32,1.06,2.13,161123.00
Ashfield,E07000170,88181.00,72583.00,12183.00,26.00,0.00,9.46,22.97,20.27,13.51,13.51,0.00,128337.00
Ashford,E07000105,92788.00,72516.00,11307.00,10.90,20.51,11.54,8.97,0.00,0.00,3.85,2.56,131018.00
Babergh,E07000200,69525.00,58975.00,4987.00,2.20,18.52,0.00,3.70,0.00,0.00,0.00,3.70,92735.00
Barking and Dagenham,E09000002,111631.00,82595.00,26462.00,47.20,93.64,14.55,0.00,0.00,0.91,4.55,3.64,214107.00
Barnet,E09000003,245756.00,193700.00,37321.00,5.20,20.38,2.37,0.00,0.00,0.00,1.42,2.37,399007.00
Barnsley,E08000016,171832.00,148304.00,27807.00,38.40,0.68,21.77,28.57,26.53,34.69,18.37,0.00,248071.00
Barrow-in-Furness,E07000027,48846.00,40399.00,5709.00,37.90,0.00,8.16,16.33,28.57,53.06,18.37,36.73,66726.00
Basildon,E07000066,124938.00,101112.00,20726.00,26.20,5.45,31.82,19.09,7.27,1.82,7.27,0.00,187558.00
Basingstoke and Deane,E07000084,131843.00,104532.00,11406.00,2.40,10.09,4.59,2.75,0.00,0.00,0.00,4.59,177760.00
Bassetlaw,E07000171,85946.00,72694.00,11114.00,20.80,7.14,5.71,14.29,12.86,11.43,4.29,1.43,118280.00
Bath and North East Somerset,E06000022,138915.00,103615.00,12783.00,4.00,2.61,0.87,6.09,0.87,0.87,0.87,0.87,196357.00
Bedford Borough,E06000055,121324.00,94456.00,17878.00,13.30,13.59,3.88,1.94,3.88,6.80,3.88,1.94,174687.00
Belfast,N09000003,,,30738.00,,,,,,,,,342560.00
Bexley,E09000004,159641.00,127152.00,26696.00,7.60,11.64,2.05,0.68,0.68,0.00,0.68,0.00,249301.00
Birmingham,E08000025,636522.00,486685.00,129906.00,57.90,16.90,11.11,23.47,33.96,21.60,39.75,41.47,1140525.00
Blaby,E07000129,72879.00,62968.00,9192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101950.00
Blackburn with Darwen,E06000008,94845.00,75064.00,25445.00,55.20,0.00,16.48,26.37,32.97,50.55,32.97,26.37,150030.00
Blackpool,E06000009,99018.00,83735.00,14577.00,57.70,0.00,36.17,25.53,43.62,67.02,36.17,40.43,138381.00
Blaenau Gwent,W06000019,,,6539.00,,0,0,0,0,0,0,0,70020.00
Bolsover,E07000033,57493.00,48853.00,7358.00,21.70,0.00,0.00,20.83,14.58,16.67,8.33,0.00,81305.00
Bolton,E08000001,193889.00,158145.00,38084.00,43.20,0.00,33.90,13.56,23.16,19.21,27.68,15.25,288248.00
Boston,E07000136,45435.00,37585.00,6271.00,15.50,13.89,0.00,27.78,2.78,0.00,2.78,8.33,70837.00
"Bournemouth, Christchurch and Poole",E06000058,281368.00,230987.00,33917.00,11.30,2.15,5.15,5.58,3.86,3.43,3.43,3.00,396989.00
Bracknell Forest,E06000036,86411.00,67088.00,9538.00,0.30,8.00,0.00,0.00,0.00,0.00,0.00,0.00,124165.00
Bradford,E08000032,325673.00,258688.00,64562.00,49.80,0.00,46.77,32.90,19.03,18.06,28.06,34.19,542128.00
Braintree,E07000067,108174.00,87583.00,13099.00,2.70,8.05,0.00,4.60,0.00,0.00,0.00,1.15,153091.00
Breckland,E07000143,104459.00,86901.00,7776.00,9.70,21.79,1.28,16.67,0.00,1.28,0.00,10.26,141255.00
Brent,E09000005,207981.00,153806.00,34353.00,20.70,77.46,11.56,0.00,4.62,0.00,8.67,2.89,327753.00
Brentwood,E07000068,54452.00,44819.00,8546.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,77242.00
Bridgend,W06000013,,,14004.00,,0,0,0,0,0,0,0,147539.00
Brighton and Hove,E06000043,197728.00,145935.00,21922.00,16.80,3.64,6.67,9.09,9.09,10.30,9.09,8.48,291738.00
Bristol,E06000023,318722.00,218987.00,46137.00,28.80,3.42,30.80,19.01,12.55,12.93,12.93,3.04,465866.00
Broadland,E07000144,101394.00,84713.00,7459.00,0.00,10.71,0.00,0.00,0.00,0.00,0.00,2.38,131931.00
Bromley,E09000006,225561.00,182432.00,30356.00,7.30,10.15,5.58,0.00,0.51,0.00,4.57,0.00,332752.00
Bromsgrove,E07000234,73211.00,62891.00,8480.00,2.50,5.17,3.45,0.00,0.00,1.72,0.00,1.72,100569.00
Broxbourne,E07000095,64149.00,52043.00,10921.00,7.10,19.64,1.79,1.79,0.00,0.00,0.00,0.00,97592.00
Broxtowe,E07000172,82362.00,65840.00,9884.00,5.40,0.00,1.41,2.82,5.63,0.00,2.82,1.41,114627.00
Buckinghamshire,E06000060,385981.00,309573.00,40769.00,,11.60,0.31,2.51,0.00,0.00,0.00,0.94,547060.00
Burnley,E07000117,57886.00,47127.00,13614.00,53.60,0.00,40.00,23.33,30.00,46.67,25.00,38.33,89344.00
Bury,E08000002,129210.00,105756.00,23783.00,24.20,0.83,13.33,4.17,15.00,10.83,10.00,8.33,190708.00
Caerphilly,W06000018,,,14564.00,,0,0,0,0,0,0,0,181731.00
Calderdale,E08000033,143154.00,118085.00,20341.00,29.30,0.78,23.44,13.28,14.84,10.94,15.63,37.50,211439.00
Cambridge,E07000008,99448.00,65166.00,8159.00,4.60,8.70,5.80,1.45,0.00,1.45,0.00,8.70,125063.00
Cambridgeshire,E10000003,491601.00,387599.00,36792.00,4.70,14.40,1.60,5.33,0.80,1.60,0.53,2.40,657204.00
Camden,E09000007,149258.00,109233.00,19235.00,13.80,0.00,11.28,0.00,0.75,0.00,8.27,14.29,279516.00
Cannock Chase,E07000192,72154.00,59479.00,8709.00,14.30,0.00,0.00,13.33,5.00,1.67,3.33,0.00,101484.00
Canterbury,E07000106,112508.00,88851.00,12420.00,10.60,6.67,13.33,7.78,2.22,1.11,0.00,2.22,166762.00
Cardiff,W06000015,,,29679.00,,0,0,0,0,0,0,0,369202.00
Carlisle,E07000028,78928.00,65471.00,10947.00,19.00,10.29,2.94,17.65,8.82,16.18,5.88,8.82,108524.00
Carmarthenshire,W06000010,,,11715.00,,0,0,0,0,0,0,0,190073.00
Castle Point,E07000069,65884.00,55745.00,10011.00,7.30,0.00,0.00,14.04,1.75,0.00,5.26,0.00,90524.00
Causeway Coast and Glens,N09000004,,,9961.00,,,,,,,,,144943.00
Central Bedfordshire,E06000056,204841.00,161686.00,22137.00,3.00,7.01,5.10,3.82,0.64,0.00,0.00,0.64,294096.00
Ceredigion,W06000008,,,2156.00,,0,0,0,0,0,0,0,72895.00
Charnwood,E07000130,129508.00,102492.00,16503.00,4.00,0.00,4.04,2.02,2.02,1.01,2.02,1.01,188416.00
Chelmsford,E07000070,128917.00,104049.00,16399.00,2.30,12.15,0.93,0.93,0.93,0.00,0.93,0.93,179549.00
Cheltenham,E07000078,87263.00,68972.00,6044.00,9.60,2.67,0.00,9.33,2.67,2.67,4.00,1.33,116043.00
Cherwell,E07000177,113609.00,86842.00,11297.00,6.10,17.20,3.23,9.68,0.00,2.15,0.00,8.60,151846.00
Cheshire East,E06000049,291622.00,242062.00,29337.00,8.50,7.26,3.85,3.85,2.14,3.85,0.85,8.12,386667.00
Cheshire West and Chester,E06000050,258524.00,207817.00,29632.00,15.80,3.77,2.83,10.85,9.91,10.38,8.02,3.30,343823.00
Chesterfield,E07000034,76344.00,68921.00,8092.00,28.10,0.00,0.00,10.14,18.84,34.78,10.14,0.00,104930.00
Chichester,E07000225,94182.00,78929.00,6873.00,1.10,21.13,0.00,0.00,0.00,0.00,0.00,19.72,121508.00
Chorley,E07000118,83825.00,69954.00,11877.00,12.40,1.52,0.00,4.55,6.06,12.12,3.03,6.06,118870.00
City of London,E09000001,6092.00,4512.00,,3.20,66.67,0.00,0.00,0.00,0.00,0.00,33.33,10938.00
Clackmannanshire,S12000005,,,,,,,,,,,,51290.00
Colchester,E07000071,133853.00,103401.00,15056.00,8.40,13.33,5.71,5.71,0.95,2.86,0.95,2.86,197200.00
Conwy,W06000003,,,5628.00,,0,0,0,0,0,0,0,118184.00
Copeland,E07000029,51139.00,42992.00,5099.00,23.00,8.16,2.04,16.33,14.29,26.53,8.16,12.24,68041.00
Cornwall,E06000052,422585.00,346447.00,23560.00,13.20,15.34,0.61,3.37,6.75,3.37,4.91,48.16,573299.00
Cotswold,E07000079,70824.00,59506.00,3766.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,13.73,90264.00
Coventry,E08000026,220909.00,166599.00,32221.00,26.70,2.56,4.10,9.23,11.28,12.82,15.90,19.49,379387.00
Craven,E07000163,44653.00,39737.00,4128.00,2.40,18.75,0.00,3.13,0.00,0.00,0.00,21.88,57338.00
Crawley,E07000226,76263.00,59774.00,10088.00,3.90,9.09,0.00,7.58,0.00,0.00,1.52,0.00,112474.00
Croydon,E09000008,231491.00,174764.00,37862.00,19.00,37.73,5.45,1.36,0.91,0.45,6.36,6.36,388563.00
Cumbria,E10000006,376375.00,318725.00,39277.00,16.40,11.53,2.18,12.46,10.90,17.76,7.17,23.36,499781.00
Dacorum,E07000096,107739.00,86179.00,11627.00,2.00,4.26,1.06,2.13,0.00,0.00,0.00,1.06,155457.00
Darlington,E06000005,76143.00,61031.00,11290.00,28.90,3.08,29.23,20.00,18.46,24.62,18.46,0.00,107402.00
Dartford,E07000107,71849.00,57556.00,12493.00,9.20,8.62,17.24,1.72,1.72,0.00,1.72,10.34,114051.00
Denbighshire,W06000004,,,6071.00,,0,0,0,0,0,0,0,96664.00
Derby,E06000015,171169.00,143094.00,24194.00,34.30,0.00,3.31,27.15,9.27,18.54,17.88,7.28,256814.00
Derbyshire,E10000007,591662.00,506706.00,65027.00,13.00,2.85,0.41,10.39,7.74,9.16,4.89,3.67,807183.00
Derbyshire Dales,E07000035,56612.00,48092.00,4180.00,2.30,13.95,0.00,2.33,2.33,0.00,2.33,13.95,72422.00
Derry and Strabane,N09000005,,,16708.00,,,,,,,,,151109.00
Devon,E10000008,610169.00,498690.00,32630.00,4.70,12.47,0.22,2.19,1.09,1.53,0.44,26.70,810716.00
Doncaster,E08000017,213710.00,182562.00,33507.00,39.80,2.06,32.47,37.63,19.59,20.10,16.49,2.06,312785.00
Dorset,E06000059,295597.00,256385.00,16125.00,5.00,18.72,0.91,3.20,3.20,4.11,1.37,14.16,379791.00
Dover,E07000108,82712.00,68773.00,8997.00,17.80,14.93,14.93,11.94,7.46,0.00,7.46,4.48,118514.00
Dudley,E08000027,220334.00,182579.00,33129.00,27.10,0.00,1.00,14.93,14.43,6.47,13.93,5.47,322363.00
Dumfries and Galloway,S12000006,,,,,,,,,,,,148290.00
Dundee,S12000042,,,,,,,,,,,,148820.00
Durham,E06000047,381821.00,310339.00,57516.00,30.40,0.93,14.51,9.26,24.69,25.31,12.65,1.23,533149.00
Ealing,E09000009,233305.00,168355.00,37833.00,16.30,45.92,7.65,0.00,2.04,0.00,6.63,4.08,340341.00
East Ayrshire,S12000008,,,,,,,,,,,,121600.00
East Cambridgeshire,E07000009,65827.00,54614.00,3998.00,0.00,20.00,0.00,2.00,0.00,0.00,0.00,0.00,90172.00
East Devon,E07000040,115049.00,96275.00,6359.00,0.80,4.94,0.00,1.23,0.00,0.00,0.00,16.05,148080.00
East Dunbartonshire,S12000045,,,,,,,,,,,,108750.00
