Generated by http://opendatacommunities.org,,,,,2021-07-09T15:44:56+00:00,,,,,
http://opendatacommunities.org/data/societal-wellbeing/imd2019/indicesbyla,,,,,English Indices of Deprivation 2019 - Summaries at Local Authority Level,,,,,
Indices of Deprivation,,,,,a. Index of Multiple Deprivation (IMD),,,,,
Reference period,,,,,2019,,,,,
Measure (cell values): ,,,,,", , , , , Rank of average rank, , , , ",,,,,
,,,,,,,,,,
,,,,,,,,,,
Reference area, Local concentration,Average Rank,Average Score,Extent,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,Rank of average rank,Rank of average score,Rank of extent,Rank of local concentration,Rank of proportion of LSOAs in most deprived 10% nationally
Bath and North East Somerset,25201.75,9260.09,11.745,0.0402,0.0174,274,265,208,217,169
Bedford,29286.44,15291.14,18.932,0.1328,0.0388,156,150,140,128,136
Blackburn with Darwen,32396.85,23819.6,36.013,0.5519,0.3626,14,9,7,18,9
Blackpool,32838.16,26765.29,45.039,0.5766,0.4149,1,1,5,1,6
"Bournemouth, Christchurch and Poole",28918.7,14820.73,18.173,0.1126,0.0386,166,160,151,140,137
Bracknell Forest,19756.83,8295.79,10.241,0.0025,0,284,286,283,289,195
Brighton and Hove,30811.93,16209.04,20.761,0.1682,0.0909,140,131,122,84,86
"Bristol, City of",31869.61,19421.68,26.363,0.288,0.1559,82,65,68,44,60
Central Bedfordshire,24815.47,9823.03,12.152,0.0297,0,264,254,224,223,195
Cheshire East,28150.06,11380.72,14.475,0.0852,0.0171,228,216,167,161,171
Cheshire West and Chester,30211.25,13862.96,18.083,0.1578,0.0755,183,161,133,105,101
Cornwall,29411.09,19382.41,23.072,0.1323,0.0521,83,101,141,123,121
County Durham,31437.78,20206.86,26.793,0.3043,0.1204,65,62,58,65,71
Darlington,32173.97,18284.63,25.657,0.2891,0.1846,103,77,66,32,47
Derby,31540.94,18953.77,26.323,0.3427,0.1589,90,67,46,59,56
Dorset,26473.8,13227.24,15.735,0.05,0.0274,197,199,197,188,150
East Riding of Yorkshire,29289.45,12095.08,15.605,0.0891,0.0619,217,202,165,127,109
Halton,32282.99,21746.16,32.325,0.4678,0.3165,39,23,22,26,13
Hartlepool,32560.44,22581.98,35.037,0.4973,0.3621,25,10,14,10,10
"Herefordshire, County of",27379.09,16384.76,18.89,0.0687,0.0086,137,152,182,173,186
Isle of Wight,29227.47,19454.34,23.294,0.1654,0.0337,80,98,123,131,143
Isles of Scilly,10680,10680,12.005,0,0,245,258,295,317,195
"Kingston upon Hull, City of",32621.01,25222.75,40.564,0.5505,0.4518,9,4,8,7,4
Leicester,31842.02,22857.96,30.877,0.3713,0.2031,22,32,37,46,42
Luton,29512.26,20864.04,25.908,0.271,0.0331,52,70,72,122,145
Medway,30780.98,18587.91,23.936,0.2389,0.0859,98,93,86,86,93
Middlesbrough,32726.13,23729.1,40.46,0.571,0.4884,16,5,6,3,1
Milton Keynes,29700.24,14351,17.98,0.1183,0.0526,172,165,147,117,120
North East Lincolnshire,32690.91,20177.27,31.335,0.3858,0.3019,66,29,34,4,17
North Lincolnshire,30774.98,17200.38,22.096,0.2043,0.1089,120,115,104,87,81
North Somerset,30424.94,11811.57,15.825,0.1151,0.0593,221,196,148,98,114
Northumberland,31248.45,16778.29,22.079,0.205,0.1168,131,116,103,68,75
Nottingham,31909.18,24458.51,34.891,0.5235,0.3077,10,11,11,43,15
Peterborough,31029.61,20858.96,27.821,0.3675,0.1429,53,51,40,76,65
Plymouth,31468.47,19859.59,26.619,0.306,0.1739,72,64,56,63,50
Portsmouth,31824.64,20660.69,26.899,0.2473,0.12,57,59,83,47,72
