,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Adur,South East,7.9,0.0,0.0,7.14,0.0,0.0,0.0,0.0,43.0,44,0.8693495693495693,0.013157113157113157,0.004648054648054648,0.0038907038907038905,0.01571131571131571,0.6900587404267975
Allerdale,North West,19.9,13.33,0.0,18.33,13.33,11.67,10.0,21.67,43.1,45,0.9508479476774907,0.004247215880200596,0.0007278092940249847,0.0006081694100756722,0.004755685386985175,0.7219000579895619
Amber Valley,East Midlands,11.0,2.56,0.0,11.54,3.85,5.13,3.85,3.85,41.8,43,0.9180356719284419,0.007498603576374808,0.0019358639845130881,0.0009488029015004859,0.0071083701249512205,0.7026453323524453
Arun,South East,10.5,7.45,4.26,8.51,3.19,5.32,1.06,2.13,45.5,47,0.8375231833230297,0.008678218365236282,0.003108443062914194,0.001409777151210155,0.012225772344101181,0.6874931225204877
Ashfield,East Midlands,26.0,0.0,9.46,22.97,20.27,13.51,13.51,0.0,40.0,41,0.8920640017124204,0.008095773226612847,0.0036083144126168687,0.001024394345954789,0.008401562583614278,0.6567594874699569
Ashford,South East,10.9,20.51,11.54,8.97,0.0,0.0,3.85,2.56,39.6,40,0.7777086412071246,0.011893061438056383,0.009722330248113868,0.0027434648263768586,0.028219505469252688,0.6479510113824826
Babergh,East of England,2.2,18.52,0.0,3.7,0.0,0.0,0.0,3.7,43.1,45,0.8990914140196807,0.0086666736531025,0.0027666285905913668,0.0014461922178091236,0.006979449398991857,0.7052169704112126
Barking and Dagenham,London,47.2,93.64,14.55,0.0,0.0,0.91,4.55,3.64,33.4,32,0.43604623047536145,0.03174718313264665,0.14966874607089317,0.011738962232216259,0.11925947418476071,0.4361718057573464
Barnet,London,5.2,20.38,2.37,0.0,0.0,0.0,1.42,2.37,36.8,35,0.5044102382897904,0.037916565446876174,0.060579492502374065,0.03823899648859345,0.14557540690355777,0.5284801136363636
Barnsley,Yorkshire and The Humber,38.4,0.68,21.77,28.57,26.53,34.69,18.37,0.0,40.4,41,0.8786521132616543,0.006333762060376684,0.0047444929298895286,0.0016475552844170025,0.0064542201118317,0.6498376534894766
Barrow-in-Furness,North West,37.9,0.0,8.16,16.33,28.57,53.06,18.37,36.73,41.3,42,0.9666310769449783,0.005124919923126201,0.000996512207274539,0.001195814648729447,0.009011317531496903,0.6819399709260896
Basildon,East of England,26.2,5.45,31.82,19.09,7.27,1.82,7.27,0.0,39.1,39,0.8006891332058637,0.014375199171446782,0.023327955704270237,0.0024000159337157424,0.02373127788400255,0.6017538252566818
Basingstoke and Deane,South East,2.4,10.09,4.59,2.75,0.0,0.0,0.0,4.59,38.7,39,0.8024207884824469,0.014494844617120715,0.009836707562774065,0.0024424302696463627,0.03460109548665681,0.6626736918229248
Bassetlaw,East Midlands,20.8,7.14,5.71,14.29,12.86,11.43,4.29,1.43,41.5,43,0.8766377376266478,0.007952159298677035,0.004151729754329376,0.0015968191362805292,0.01002004008016032,0.6703631450181493
Bath and North East Somerset,South West,4.0,2.61,0.87,6.09,0.87,0.87,0.87,0.87,40.3,40,0.8073499090357793,0.01405942995755003,0.006432989690721649,0.0035997574287446937,0.022204972710733777,0.6603637140180838
